Student_id,C200,C300,C400,C500,F100,S100,H100,L100,M000,M100,M200,M300,M400,X100,Final Grade
2128551,94.57,91.28,92.38,93.77,99.55,94.13,93.13,93.69,85.78,90.28,100,88.13,97.02,86.95,92.9043
2128651,100,94.23,91.78,93.88,95.92,94.4,96.09,90.14,92.21,90.53,90.03,98.47,90.96,92.3,93.6386
2128751,92.24,92.43,93.4,99.49,87.17,100,87.71,89.74,93.87,82.89,97.15,93.63,96.1,82.83,92.0464
2128851,92.33,95.95,100,93.53,92.74,92,85.79,93.5,98.95,87.62,88.12,96.69,95.26,98.67,93.6536
2128951,90.47,91.64,87.94,99.56,95.44,85.78,90.84,100,86.55,92.15,95.48,90.78,91.97,99.36,92.7114
2102950,89.82,94.91,85.92,99.12,95.1,92.75,90.84,92.88,92.45,97.96,87,91.2,95.62,90.57,92.5814
2129051,100,99.28,82.84,86.87,96.2,99.15,84.83,95.21,82.8,95.82,88.76,89.21,94.17,98.96,92.4357
2129151,98.94,89.12,88.7,82.61,94.25,81.33,94.34,97.99,91.73,89,92.7,88.16,95.51,97.61,91.5707
2129251,96.6,88.77,92.04,95.02,97.48,91.49,89.03,88.54,93.75,88.43,91.09,96.54,97.96,87.52,92.4471
2129351,90.2,89.34,93.68,98.25,89.35,84.67,86.33,83.84,83.12,92.19,92.7,90.61,96.8,100,90.7914
2129451,98.77,94.53,84.14,91.68,95.05,94.23,92.88,90.12,100,89.96,94.31,84.8,91.05,100,92.9657
2129551,91.65,90.15,98.35,91.62,97.05,90.22,96.24,89.82,91.38,89.94,99.08,93.73,78.38,89.52,91.9379
2129651,95.61,81.58,93.92,97.25,89.86,96.76,91.34,95.16,95.41,97.69,92.86,93.75,85.57,93.11,92.8479
2129751,89.96,91.9,91.17,90.55,90.68,95.53,85.62,90.69,88.96,90.47,83.94,97.77,97.64,100,91.7771
2129851,89.35,90.41,83.79,92.57,90.94,91.82,95.18,99.03,88.64,100,98.05,88.76,95.82,95.56,92.8514
2129951,89.14,100,100,83.37,95.43,98.8,87.42,85.98,94.34,95.65,95.58,93.47,88.88,87.46,92.5371
2103050,92.22,94.16,89.39,88.45,95.04,88.34,91.58,92.86,85.72,96.2,90.16,90.94,90.53,94.62,91.4436
2130051,92.78,91.65,97.24,84.75,86.49,91.56,96.03,89.7,94.69,90.78,98.26,90.47,87.77,92.44,91.7579
2130151,90.54,96.94,93.43,82.29,87.09,91.55,88.5,89.23,93.43,93.1,86.25,90.9,91.52,89.4,90.2979
2130251,90.32,90.72,90.38,84.06,91.17,90.79,100,93.08,95.37,88.8,88.38,99.07,94.23,92.21,92.0414
2130351,88.15,90.77,91.49,98.8,92.79,91.16,99.78,89.65,84.3,86.33,94.95,91.64,98.95,85.09,91.7036
2130451,91.85,90.81,89.91,92.48,87.99,86.74,89.19,90.18,86.15,91.18,96.31,89.33,94.96,86.16,90.2314
2130551,90.27,90.3,94.69,97.99,89.35,87.6,91.49,92.37,92.47,98.08,86.37,85.98,92.2,94.81,91.7121
2130651,96.14,89.52,94.61,93.39,85.4,82.31,100,93.36,100,99.35,95.98,94.44,89.34,94.91,93.4821
2130751,93.11,89.14,98.93,100,88.99,95.69,93.96,87.88,90.7,88.58,82.41,89.29,95.38,92.05,91.865
2130851,96.99,96.52,98.37,90.07,85.38,82.72,94.73,100,93.73,100,100,96.51,96.47,89.83,94.38
2130951,93.15,84.58,90.57,91.45,93.07,94.93,93.95,93.66,93.48,96.32,87.13,100,86.74,91.48,92.1793
2103150,81.44,100,89.54,93.22,99.03,86.8,80.22,90.05,90.44,87.69,80.39,93.06,92.91,89.67,89.6043
2131051,98.09,94.97,95.83,96.78,87.5,88.89,89.63,100,89.52,98.88,95.42,96.97,97.58,98.39,94.8893
2131151,87.21,96.28,88.91,82.38,92.63,93.18,86.29,93.54,91.03,97.29,87.62,88.81,87.98,90.69,90.2743
2131251,90.61,94.91,85,87.58,87.24,93.92,95.88,86.63,95.67,85.96,95.06,97.56,86.8,90.57,90.9564
2131351,93.87,100,93.28,93.17,90.81,91.98,91.83,89.06,96.57,95.55,91.42,93.88,95.52,91.09,93.4307
2131451,94.57,85.91,97.73,92.97,96.39,97.93,89.75,86.75,84.03,99.81,86.76,95.21,95.33,93.82,92.64
2131551,83.08,90.09,95,97.14,86.92,91.93,87.04,92.09,95.16,88.37,92.44,91.45,88.92,88.11,90.5529
2131651,97.44,85.25,100,88.5,83.9,99.81,91.84,88.6,85.51,93.54,100,92.63,97.21,87.61,92.2743
2131751,94.92,95.9,90.4,94.92,91.57,93.12,92.34,88.19,93.9,82.34,98.17,100,87.06,87.18,92.1436
2131851,98.55,93.04,100,94.24,89.52,95.38,89.94,89.2,89.49,95,90.86,98.53,88.52,92.23,93.1786
2131951,99.7,94.18,83.17,93.53,98.55,87.75,85.98,84.5,94.61,94.86,86.65,99.23,88.94,81.45,90.9357
2103250,91.43,97.92,93.16,91.08,97.13,83.54,92.76,89.5,93.33,95.03,95.08,98.21,95.08,91.04,93.1636
2132051,94.53,95.07,91.79,82.92,90.13,94.2,82.37,99.89,89.79,86.32,95.04,92.14,99.98,88.06,91.5879
2132151,88.27,95.73,96.88,92.81,100,92.78,96.55,96.65,88.75,100,91.83,86.01,95.1,91.12,93.7486
2132251,93.73,91.51,94.26,97.4,78.62,92.93,91.2,91.87,91.01,83.56,90.38,91.98,93.16,100,91.5436
2132351,100,89.51,84.06,86.7,91.95,94.19,91.58,95.92,96.69,88.88,89.92,88.38,91.48,86.72,91.1414
2132451,95.86,89.63,83.27,95.44,96.75,97.08,94,96.18,98.06,90.02,91.65,97.02,95.16,84.57,93.1921
2132551,100,99.91,88.22,98.45,93.2,97.12,94.73,95.7,91.51,84,97.08,88.73,86.07,88.28,93.0714
2132651,91.02,88,92.24,90.88,94.39,90.66,92.68,90.13,87.32,90.62,96.62,94.55,91.64,93.14,91.7064
2132751,83.73,92.41,93.48,100,93.41,93.88,90.27,92.14,100,96.7,94.56,91.76,93.26,95.76,93.6686
2132851,92.89,96.42,91.43,87.03,92.05,96.36,92.76,92.24,95.68,95.82,95.37,89.58,87.46,90.21,92.5214
2132951,89.21,85.72,92.56,92.66,89.52,96.33,94.18,91.67,88.83,90.83,99.81,92,95.95,96.64,92.565
2103350,91.31,85.6,98.06,92.03,92.72,95.23,93.47,94.64,93.22,99.55,85.68,92.76,93.18,93.36,92.915
2133051,88.68,92.85,92.89,99.78,92.44,97.5,91.03,89.72,95.33,90.18,89.23,92.23,86.75,90.82,92.1021
2133151,94.16,92.04,90.55,88.03,87.81,100,89.23,90.43,89.9,95.48,91.63,98.26,93.4,84.58,91.8214
2133251,96.86,93.33,83.72,93.43,93.94,99.64,84.19,91.36,94.02,89.11,100,93.99,96.15,95.31,93.2179
2133351,81.45,89.33,91.53,90.25,93.12,85.21,96.13,93.19,93.78,96.47,87.37,90.09,97.73,84.14,90.6993
2133451,91.75,100,90.83,83.01,88.93,100,89.24,89.38,95.82,89.15,75.64,97.63,88.46,95.34,91.0843
2133551,88.96,89.36,91.84,88.84,92.89,90.75,87.23,95.44,95.44,86.22,92.98,90.02,90.55,90.25,90.7693
2133651,92.51,99.61,99,90.94,95.17,95.26,86.55,89.13,82.13,89.9,91.49,91.44,92.06,89.75,91.7814
2133751,97.23,96.1,92.88,85.61,85.24,100,92.29,100,88.34,94.05,88.94,94.61,91.45,91.68,92.7443
2133851,99.6,94.74,89.78,98.45,83.14,86.02,86.05,91.86,93.8,85.66,89.55,89.62,82.55,83.83,89.6179
2133951,92.09,89.92,85.79,98.17,90.34,88.89,85.93,89.81,90.88,90.9,100,94.97,96.53,98.88,92.3643
2103450,97.29,93.09,93.41,93,85.15,85.54,88.76,89.59,96.53,82.35,89.1,93.96,94.78,90.26,90.915
2134051,93.06,91.36,87,90.5,97.45,92.04,97.09,91.93,97.76,100,93.6,95.87,87.98,89.81,93.2464
2134151,89.39,87.75,95.47,84.24,93.2,92.2,95.26,100,100,91.5,94.22,90.72,95.13,93.88,93.0686
2134251,96.81,86.56,86.11,88.97,89.16,93.62,88.51,98.27,91.16,93.83,100,95.69,91.69,90.93,92.2364
2134351,96.74,83.93,92.25,91.16,95.78,93.51,96.5,84.53,96.9,91.6,91.63,86.94,88.6,95.68,91.8393
2134451,85.86,89.61,93.02,95.8,100,95.44,88.02,88.31,89.77,92.4,91.52,96.14,89.58,98.6,92.4336
2134551,91.08,99.25,85.83,97.13,89.1,95.51,90.72,95.14,100,91.05,95.35,87.74,90.93,90.46,92.8064
2134651,96.52,95.95,94.22,94,94.33,98.9,90.33,90.07,92.76,98.31,89.93,88.38,97.04,91.95,93.7636
2134751,83.1,99.81,95.39,88.84,89.27,90.16,97.35,88.09,99.31,88.41,95.27,94.5,94.9,96.71,92.9364
2134851,90.88,95.32,88.59,91.45,86.75,95.87,97.1,97.03,92.73,92.68,96.8,88.23,100,96.8,93.5879
2134951,84.04,91.25,80.86,92.48,90.58,89.37,100,92.14,84.26,88.11,94.92,95.88,93.15,90.3,90.5243
2103550,83.85,90.94,96.44,89.41,94.64,94.32,98.27,94,88.46,93.29,88.94,91.87,87.07,94.92,91.8871
2135051,80.96,83.22,95.25,86.97,93.69,89.2,90.6,92.84,94.95,88.78,92.22,90.99,90.49,84.55,89.6221
2135151,93.95,96.56,89.47,95.77,91.51,93.89,97.69,93.93,96.76,85.33,86.74,89.26,95.13,89.52,92.5364
2135251,95.84,92.22,94,78.65,90.77,91.07,86.99,86.73,86.99,94.39,89.03,87.81,97.64,79.41,89.3957
2135351,94.4,97.2,92.48,92.1,92.33,90.19,90.76,91.94,90.31,92.57,88,88.83,88.14,98.16,91.9579
2135451,86.18,89.42,91.68,90.06,92.33,84.79,89.25,97.92,89.84,96.44,98.67,92.47,94.68,93.24,91.9264
2135551,100,91.98,94.56,84.15,89.14,98.37,86.77,88.22,100,97.26,91.24,93.94,92.37,92.13,92.8664
2135651,95.64,87.61,84.68,89.82,94.45,89.16,96.2,87.85,88.06,99.24,87.63,94.77,94.11,88.11,91.2379
2135751,93.81,93.47,95.39,84.77,92.68,80.2,92.04,95.31,86.37,97.99,93.34,91.32,96.41,87.58,91.4771
2135851,93.5,92.15,81.67,90.6,89.78,88.95,94.07,89,94.89,83.57,90.1,90.1,92.49,91.41,90.1629
2135951,91.78,94.23,92.5,89.49,100,96.87,90.06,89.7,96.36,92.48,88.61,93.5,96.07,90.97,93.0443
2103650,94.95,84.47,88.08,89.07,98.18,89.98,100,98.39,93.13,91.12,86.12,88.54,87.63,91.04,91.4786
2136051,89.83,92.71,86.99,87.39,85.2,89.11,84.03,97.5,90.86,100,93.34,86.27,85.63,87.84,89.7643
2136151,93.51,87.28,89.78,97.19,88.88,97.56,95.75,97.99,90.23,94.22,97.31,95.21,89.66,95.59,93.5829
2136251,90.15,92.85,92.65,87.25,88.24,85.8,93.46,89.81,96.81,99.42,92.21,90.33,99.32,88.55,91.9179
2136351,93.23,92.9,92.89,98.95,93.47,86.78,93.17,99.29,97.55,96.73,97.61,84.85,95.21,89.83,93.7471
2136451,83.35,83.39,92.06,92.96,85.16,98.43,86.9,96.9,89.75,91.55,96.09,92.72,94.26,100,91.68
2136551,94.66,85.89,97.75,98.9,84.02,91.18,95.99,87.87,97.34,86,93.75,96.12,98.33,87.39,92.5136
2136651,97.32,91.44,91.65,91.52,94.68,100,91.39,89.18,100,98,84.99,90.17,86.48,85.79,92.3293
2136751,90.42,99.33,96.35,90.58,94.02,89.96,90.2,87.82,89.31,99.75,93.66,92.62,93.16,87.59,92.4836
2136851,91.63,94.48,96.16,95.76,86.92,100,92.66,85.82,99.65,88.74,85.3,95.86,93.44,96.09,93.0364
2136951,91.16,91.01,89.61,87.54,95.5,91.49,89.33,92.06,94.38,91.16,100,90.86,93.63,94.23,92.2829
2103750,87.77,90.15,84.15,99,86.3,93.45,100,91.12,88.99,87.9,93.46,88.14,87.59,94.22,90.8743
2137051,90.31,90.75,98.92,85.11,88.32,90.2,91.22,100,94.27,94.41,84.9,85.81,87.05,87.86,90.6521
2137151,92.64,100,92.26,93.17,91.8,94.01,86.4,96.6,85.46,94.59,97.04,87.53,85.96,90.81,92.0193
2137251,86.61,100,91.06,93.88,99.93,96.23,87.97,87.82,91.4,100,96.42,88.44,87.68,93.62,92.9329
2137351,90.18,89.48,91.4,93.7,85.17,91.44,83.59,89.51,88.37,93.4,92.24,87.31,92.53,90.01,89.8807
2137451,100,95.1,94.88,90.33,95.1,92.21,86.89,98.38,98.3,93.15,99.05,92.58,91.76,88.81,94.0386
2137551,82.45,93.37,94.15,86.57,95.64,95.1,93.33,97.42,91.52,95.96,95.31,95.29,92.22,100,93.4521
2137651,96.56,89.87,92.5,82.39,100,95.75,89.29,89.82,98.45,91.07,93.63,99.38,96.65,83.09,92.7464
2137751,89.08,95.36,93.66,81.03,89.43,95.69,89.71,86.01,88.87,98.3,87.37,86.16,100,88.42,90.6493
2137851,91.33,100,92.53,87.72,95.82,88.07,88.6,97.52,93.22,100,94.72,92.26,90.36,87.43,92.8271
2137951,95.66,94.93,88.63,87.73,95.33,96.69,92.13,89.9,89.49,88.08,100,98.81,90.62,98.26,93.3043
2103850,97.29,83.63,94.77,89.8,88.71,95.69,88.15,100,90.58,97.45,94.11,97.94,100,94.99,93.7936
2138051,94,89.74,95.49,97.37,97.84,86.23,83.97,87.2,87.62,97.08,93.27,81.14,88.41,89.46,90.63
2138151,93.77,88.22,96.55,89.96,92.71,88.4,84.29,84.42,89.1,96.64,84.17,82.95,95.18,85.73,89.435
2138251,97.45,100,94.04,86.5,81.27,91.79,91.4,92.3,81.69,95.26,85.96,95.02,92.25,95.18,91.4364
2138351,94.55,88.26,93.38,100,86.6,91.97,95.06,91.38,89.88,88.88,89.88,94.1,91.33,89.96,91.8021
2138451,90.54,100,90.64,90.61,90.55,94.99,100,86.8,98.9,96.89,88.86,82.99,95.88,92.71,92.8829
2138551,93.69,96.91,91.93,92.54,91.45,90.09,96.07,95.58,90.92,99.23,91.44,95.41,88.63,94.63,93.4657
2138651,92.58,88.29,98.28,84.95,91.11,96.24,93.08,98.66,89.21,97.93,94.32,92.5,79.99,89.19,91.8807
2138751,89.91,100,89.75,85.69,83.91,89.92,94.38,89.17,87.37,90.99,92.38,87.1,92.77,92.18,90.3943
2138851,91.05,98.33,90.42,87.33,85.94,85.2,88.25,88.06,97.61,87.82,87.77,91.11,97.86,86.71,90.2471
2138951,96.22,90.11,88.55,80.25,85.29,89.88,92.84,91.72,97.73,88.91,92.65,95.52,92.8,100,91.605
2103950,89.21,92.66,89.89,90.7,81.77,100,81.93,92.83,92.89,97.62,83.73,88.52,91.14,92.85,90.41
2139051,89,96.49,92.44,93.92,86.47,86.75,85.98,99.72,93.86,93.16,93.05,91.49,89.09,100,92.2443
2139151,87.99,97.61,99.3,89.17,95.91,89.41,100,90.04,94.47,88.46,86.12,92.21,89.28,95.55,92.5371
2139251,92.21,90.37,80.87,91.53,87.79,92.71,95.18,87.08,91.08,88.98,89.82,100,90.03,90.85,90.6071
2139351,87.94,89.93,92.49,87.22,85.39,87.17,94.18,90.19,94.5,89.61,91.58,86.55,95.84,92.82,90.3864
2139451,94.47,90.03,94.77,89.2,100,97.57,90.92,93.31,88.13,98.74,90.02,79.95,94.84,100,92.9964
2139551,92.86,99.38,93.71,90.29,95.81,90.73,100,90.73,91.04,97.92,91.29,96.82,96.92,95.23,94.4807
2139651,85.32,93.54,86.88,87.92,89.28,100,89.06,91.09,94.94,92.19,92.2,99.86,89.91,83.78,91.1407
2139751,89.71,92.8,95.94,94.71,100,91.45,90.3,92.72,86.66,94.25,90.69,98.24,90.72,95.45,93.1171
2139851,100,87.32,93.5,96.85,100,84.12,93.24,90.3,93.18,90.02,96.72,88.56,91.5,95.31,92.9014
2139951,73.18,100,90.98,91.86,88.69,97.37,90.12,90.9,95.4,93.1,96.99,95.46,91.21,95.27,92.1807
2104050,92.61,95.22,91.15,92.03,98.84,89.38,95.74,99.16,90.77,100,93.99,88.79,87.39,89.7,93.1979
2140051,93.37,94.29,94.62,95.88,89.77,87.89,89.88,100,96.79,96.78,97.5,92.73,98.02,99.77,94.8064
2140151,98.52,98.02,90.46,100,100,89.35,85.05,90.75,94.48,96.67,97.58,90.52,92.5,91.98,93.9914
2140251,91.66,88.56,95.2,94.35,92.8,89.6,81.31,87.92,94.29,91.12,100,90.35,88.21,100,91.8121
2140351,92.17,99.3,91.23,96.27,85.66,92.42,89.24,95.17,96.3,89.3,94.33,97.25,95.11,94.32,93.4336
2140451,88.84,91.42,95.22,94.17,96.26,84.12,88.26,92.26,96.35,90.18,84.13,87.44,97.16,92.63,91.3171
2140551,97.46,91.15,97.75,89.62,87,95.78,99.04,86.35,81.82,89.15,85.25,88.19,89.71,92.04,90.7364
2140651,100,89.72,95.47,86.52,94.38,85.95,99.63,85.72,97.84,94.54,87.35,85.54,93.86,88.34,91.7757
2140751,87.64,86.18,99.27,94.29,93.59,92.37,86.7,88.8,98.8,88.49,89.74,94.93,94.28,97.28,92.3114
2140851,88.67,97.45,91.17,97.03,90.52,92.79,98.54,91.04,93.92,97.22,91.72,92.79,96.66,93.37,93.7779
2140951,100,98.94,90.1,87.09,95.46,96.82,96.45,100,98.77,92.6,87.2,94.24,84.55,85.55,93.4121
2104150,91.32,93.45,77.05,85.88,91.9,93.41,93.67,92.47,100,89.47,94.57,89.86,100,95.82,92.0621
2141051,94.54,91.01,98.88,88.52,95.56,96.85,91.54,86.04,87.9,95.89,94.14,89.15,79.96,87.18,91.2257
2141151,97.85,89.96,89.52,96.11,79.51,82.16,86.39,90.41,86.55,92.48,83.48,93.16,92.01,93.14,89.4807
2141251,90.34,93.04,90.24,100,87.29,89.06,90.29,94.18,89.89,100,97.77,97.52,89.16,86.62,92.5286
2141351,87.71,91.26,97.81,93.49,84.42,93.46,94.28,91.05,82.29,92.05,88.59,86.45,95.16,81.51,89.9664
2141451,83.49,100,83.98,86.28,90.5,97.6,85.79,94.6,99.82,92.42,91.07,91.49,97.16,93.74,91.9957
2141551,91.53,92.08,98.71,91.84,84.97,96.1,93.3,88.12,88.05,97.92,90,99.69,83.36,84.38,91.4321
2141651,92.8,90.58,100,92.64,91.57,87.57,100,98,90.59,97.01,96.15,88.15,93.72,95.9,93.9057
2141751,94.21,90.03,93.25,92.61,83.65,91.33,87.22,93.35,98.45,83.75,89.75,100,93.55,92.11,91.6614
2141851,90.57,83.88,88.56,100,90.13,96.13,90,89.32,96.23,94.63,93.39,100,82.29,83.71,91.3457
2141951,90.23,96.39,95.68,92.28,100,87.61,100,91.58,89.8,89.08,92.77,87.71,88.56,99,92.9064
2104250,83.57,92.56,87.44,95.19,89.23,96.01,93.64,82.14,93.94,100,92.35,90.14,90.97,87.5,91.0486
2142051,90.73,99.62,87.25,94.43,96.33,87.59,83.17,96.14,91.81,100,86.71,92.75,96.91,91.98,92.53
2142151,89.76,88.24,100,91.57,86.5,88.9,85.05,85.23,93.7,94.69,87.92,92.7,89.98,98.51,90.9107
2142251,89.92,83.6,89.63,89.1,80.36,88,91.53,100,85.8,88.44,99.21,91.38,88.93,87.66,89.54
2142351,96.78,86.23,92.56,91.17,93.49,100,98.22,89.95,96.66,86.65,86.52,88.59,100,98.2,93.2157
2142451,100,97.45,97.35,90.35,84.27,93.71,90.56,93.54,86.17,94.34,100,90.23,87.69,89.17,92.4879
2142551,92.94,90.59,93.63,100,89.95,93.8,96.96,91.27,87.86,97.08,90.5,91.42,94.48,100,93.6057
2142651,99.62,87.76,90.21,100,91.47,87.6,90.49,96.43,97.5,90.09,89.63,89.98,95.49,98.53,93.2
2142751,80.51,84.73,98.05,91.3,93.23,93.39,89.61,88.54,95.06,89.37,86.92,90.91,78.66,87.3,89.1129
2142851,86.33,87.43,97.53,97.28,87.74,90.87,90.28,87.37,94.03,88.62,93.83,97.91,92.54,86.57,91.3093
2142951,95.01,93.87,100,85.14,84.78,92.89,92.71,83.33,100,90.46,96.97,100,91.48,94.62,92.9471
2104350,94.17,97.79,100,84.52,89.21,89.86,100,86.83,89.75,88.39,95.64,89.66,90.65,89.86,91.8807
2143051,100,95.05,94.06,95.18,89.34,83.14,96.53,87.02,92.32,95.28,80.92,98.02,98.77,95.31,92.9243
2143151,95.59,95.14,88.32,88.13,86.48,96.6,89.84,100,91.87,97.15,93.46,93.25,88.42,95.44,92.835
2143251,97.24,89.75,100,86.59,88.87,96.65,92.03,93.08,92.74,97.23,94.35,100,93.56,90.4,93.7493
2143351,84.91,98.52,97.46,87.71,86.81,98.28,91.36,90.47,95.67,93.97,94.01,94.55,89.24,85.53,92.035
2143451,86.97,86.79,93.42,98.51,94.72,84.94,93.13,93.19,88.39,87.23,84.32,85.04,97.94,91.13,90.4086
2143551,93.02,92.8,90.32,87.93,84.93,96.26,87.09,87.14,96.43,88.79,88.54,94.51,85.3,90.58,90.26
2143651,89.59,91.08,80.25,95.93,94.1,86.57,93.17,90.36,83.86,95.03,92.53,96.74,92.8,98.79,91.4857
2143751,95.88,84.65,91.16,84.71,90.31,95.92,84.41,83.44,94.38,93.87,87.68,88.22,94.17,87.09,89.7064
2143851,99.91,95.99,90.37,94.89,95.22,90.76,98.86,90.11,89.18,93.5,90,100,95.94,85.17,93.5643
2143951,89.03,95.55,91.5,90.55,95.13,94.21,86.08,90.21,90.8,95.55,84.72,96.67,85.96,87.88,90.9886
2104450,85.31,92.08,93.13,89.63,95.93,94.07,95.96,81.82,95.01,95.08,88.23,80.91,95.05,99.66,91.5621
2144051,92.51,94.78,86.41,86.58,90.53,92.14,99.1,90.69,91.74,89.51,83.66,93.64,91.46,89.55,90.8786
2144151,91.31,93.21,88.84,86.46,91.13,88.74,91.98,98.21,88.76,85.84,93.16,92.49,95.13,88,90.9471
2144251,86.88,93.04,91.17,81.84,97.9,92.61,87.33,93.28,85.64,92.49,95.95,95.43,95.08,99.24,91.9914
2144351,91.76,89.32,80.71,86.65,89.24,96.73,90.22,89.04,96.47,90.24,93.02,93.55,100,91.16,91.2936
2144451,97.42,94.4,100,91.84,92.15,89.62,96.35,89.9,96.12,96.15,94.59,86.96,93.71,96.68,93.9921
2144551,100,93.02,91.91,92.26,90.18,80.13,86.77,84.62,90.44,89.13,93.42,96.14,93.12,93.39,91.0379
2144651,80.3,91.17,87.29,91.19,99.55,92.24,88,99.89,95.05,87.55,92.52,90.44,95.16,98.6,92.0679
2144751,87.71,94.83,93.23,88.21,82.05,89.22,97.26,89.88,100,88.38,87.15,89.36,93.54,93.85,91.0479
2144851,91.25,96.41,92.18,81.75,93.28,90.41,93.56,90.9,91.04,96.68,93.18,95.02,91.23,96.47,92.3829
2144951,89.1,78.33,92.82,96.77,86.8,83.9,89.11,89.66,91.63,91.13,87.83,88.49,88.45,89.43,88.8179
2104550,100,84.92,100,90.89,90.91,82.35,92.6,92.75,87.08,80.25,94.75,96.46,100,100,92.3543
2145051,92.66,88.72,95.58,88.19,88.99,85.46,91.76,99.38,100,97.24,92.02,97.15,85.69,91.14,92.4271
2145151,83.02,92.79,90.75,100,87.59,80.55,83.91,92.55,89.54,83.42,80.79,89.36,92.62,100,89.0636
2145251,92.2,97.61,82.79,87.72,91.53,100,88.41,89.82,77.04,95.89,97.38,88.75,83.53,90.21,90.2057
2145351,89.57,88.71,89.81,100,89.18,90.09,88.72,84.68,87.73,86.43,93.22,93.55,90.46,91.43,90.2557
2145451,92.58,94.78,87.85,90.3,99.59,86.7,91.84,99.16,92.17,89.11,88.36,95.2,93.2,96.62,92.6757
2145551,90.86,92.23,95.82,93.15,96.35,92.03,85.75,100,100,88.3,90.27,85.56,94.21,87.18,92.265
2145651,97.29,81.99,87.55,93.52,91.38,88.75,93.41,92.12,94.3,92.45,94.04,92.8,89.84,89.85,91.3779
2145751,91.54,99.14,92.12,91.16,100,95.35,96.04,100,97.59,90.15,88.59,88.31,95.11,94.84,94.2814
2145851,86.77,90.52,88.57,91.11,97.39,98.19,95.63,87.19,98.01,81.97,100,83.53,89.16,97.51,91.825
2145951,90.35,100,98.93,91.54,87.34,90.85,91.74,92.52,88.63,87.03,96.34,97.4,83.86,91.02,91.9679
2104650,100,96.24,87.8,95.91,100,87.04,97.5,87.69,90.39,88.51,89.65,97.72,83.94,95.6,92.7136
2146051,95.58,97.19,91.9,89.82,96.28,88.43,87.45,99.26,93.16,98.37,86.03,84.9,85.82,90.98,91.7979
2146151,92.7,87.09,91.85,95.86,91.83,88.3,97.14,94.29,87.1,95.68,89.06,96.45,100,100,93.3821
2146251,90.21,100,87.16,82.33,96.12,89.24,98.64,92.27,95.84,98.21,93.04,91.6,91.87,96.44,93.0693
2146351,90.31,94.39,96.3,97.46,91.62,97.4,95.61,96.04,95.72,92.61,96.06,96.86,88.82,93.21,94.4579
2146451,90.84,94.67,96.46,97.36,93.76,94.09,91.6,93.85,95.66,93.02,95.75,86.95,94.79,99.38,94.1557
2146551,91.17,93.7,89.95,88.83,91.33,93.91,100,94.58,89.39,90.24,88.8,88,83.28,81.79,90.355
2146651,91.25,95.45,89.73,87.57,87.35,83.07,100,92.94,90.87,94.86,99.3,81.63,89.74,87.01,90.7693
2146751,86.91,96.08,100,87.1,91.63,90.89,91.81,92.82,85.75,90.4,89.12,86.81,96.65,95.56,91.5379
2146851,88.59,92.26,82.71,94.09,94.31,93.82,98.95,95.75,95.04,90.8,100,92.11,94.43,88.67,92.9664
2146951,92.28,90.5,90.77,85.58,84.98,94.29,96.16,85.33,83.16,88.64,90.26,80.39,98.56,85.33,89.0164
2104750,95.55,94.73,91.13,98.2,92.66,88.79,96.55,92.29,92.38,87,91.06,96.59,85.52,87.27,92.1229
2147051,93.34,94.9,88.08,94.76,87.43,93.76,93.44,87.75,92.26,89.34,89.61,91.67,96.64,85.7,91.3343
2147151,87.74,95,95.38,91.48,91.64,96.89,94.85,100,85.81,100,90.11,91.13,86.91,91.63,92.755
2147251,93.01,87.14,94.85,81.74,87.84,85.24,88.63,95.06,91.8,93.89,100,88.23,94.27,93.07,91.055
2147351,88.65,95.47,90.72,92.26,86.4,88.47,92.48,90.91,91.28,91.21,95.72,89.14,93.32,89.77,91.1286
2147451,89.15,87.12,98.45,94.96,94.43,94.67,84.15,88.82,87.81,97.1,91.65,90.43,92.17,95.07,91.8557
2147551,88.7,98.24,87.95,80.23,93.56,91.71,91.08,95.11,88.46,89.69,90.73,98.28,91.97,94.64,91.4536
2147651,86.04,83.12,83.68,100,95.81,82.69,85.58,98.31,82.82,91.88,85.58,91.8,89.31,95.45,89.4336
2147751,92.7,87.81,88.82,94.54,91.47,86.04,89.39,80.35,89.69,92.19,90.15,90.38,86.12,95.3,89.6393
2147851,93.61,95.33,97.96,94.44,90.83,93.97,97.7,84.91,100,100,93.02,87.1,91.38,93.04,93.8064
2147951,92.75,90.13,94.72,96.61,88.13,88.55,94.3,80.71,93.47,100,93.24,88.05,90.4,90.59,91.5464
2104850,89.46,90.26,99.47,92.05,88.26,89.2,93.51,82.69,87.88,99.84,88.75,88.75,95.97,92.22,91.3079
2148051,98.49,91.33,90.8,88.24,97.65,96.04,86.72,91.87,89.25,91.44,100,84.86,92.9,86.78,91.8836
2148151,85.65,91.82,93.19,83.32,95.72,91.26,92.95,92.65,90.52,100,92.17,100,88.59,87.25,91.7921
2148251,95.86,97.08,94.67,96.45,94.22,100,86.51,95.37,93.95,98.35,100,86.55,96.02,85.71,94.3386
2148351,87.47,90.1,95.34,92.21,95,91.34,98.53,98.39,100,85.69,88.91,92.86,87.43,93.74,92.6436
2148451,90.99,86.19,86.63,91.71,91.47,91.38,89.39,80.41,98.93,98.58,91.49,91.24,90.84,89.21,90.6043
2148551,98.25,89.92,92.28,85.08,89.64,93.1,93.87,84.68,90.74,96.11,97.9,93.19,81.15,97.84,91.6964
