Branch of Service,Rank,Functional Branch,Student_ID,Service Component,Commissioning Source
Army,CPT,Field Artillery,2114251,Active,Service Academy
Army,MAJ,Armor,2114351,National Guard,OCS
Army,CPT,Engineer,2114451,Active,OCS
Army,MAJ,Military Police,2114551,National Guard,OCS
Army,MAJ,Engineer,2114651,Reserve,ROTC
Army,MAJ,Field Artillery,2114751,National Guard,ROTC
Army,CPT,Medical Corps,2114851,Active,Direct Commission (Medical)
Army,CPT,Medical Corps,2114951,Active,Direct Commission (Medical)
Department of State (DoS),GS-13,Human Resources,2222451,Civilian ,n/a
Army,MAJ,Medical Corps,2115151,Active,Direct Commission (Medical)
Department of State (DoS),GS-13,Logistics,2338451,Civilian ,n/a
Army,MAJ,Engineer,2115351,Active,ROTC
Army,CPT,Military Police,2115451,Active,Service Academy
Army,MAJ,Signal Corps,2115551,Reserve,OCS
Army,MAJ,Field Artillery,2115651,Active,OCS
Army,MAJ,Aviation,2115751,Active,ROTC
Army,MAJ,Infantry,2115851,National Guard,Service Academy
Army,CPT,Finance Corps,2115951,Reserve,Service Academy
Army,CPT,Logistics,2116051,Active,ROTC
Army,CPT,Medical Corps,2116151,Active,Direct Commission (Medical)
Department of State (DoS),GS-12,Cyber Operations,2435551,Civilian ,n/a
Army,CPT,Engineer,2116351,Active,Service Academy
Army,MAJ,Finance Corps,2116451,Active,ROTC
Army,MAJ,Military Police,2116551,Active,OCS
Army,CPT,Logistics,2116651,National Guard,OCS
Army,CPT,Cyber,2116751,National Guard,OCS
Army,MAJ,Finance Corps,2116851,Active,ROTC
Army,CPT,Military Police,2116951,Active,ROTC
Army,MAJ,Armor,2117051,Active,Service Academy
Army,CPT,Cyber,2117151,Active,ROTC
Army,MAJ,Cyber,2117251,Active,Service Academy
Army,CPT,Signal Corps,2117351,National Guard,OCS
Department of State (DoS),GS-13,Logistics,2510651,Civilian ,n/a
Army,CPT,Field Artillery,2117551,Active,ROTC
Army,MAJ,Medical Corps,2117651,Active,Direct Commission (Medical)
Army,MAJ,Intelligence,2117751,Active,OCS
Army,CPT,Infantry,2117851,National Guard,OCS
Army,MAJ,Cyber,2117951,Reserve,ROTC
Army,CPT,Finance Corps,2118051,National Guard,ROTC
Army,MAJ,Infantry,2118151,National Guard,Service Academy
Department of State (DoS),GS-13,Logistics,2513051,Civilian ,n/a
Army,MAJ,Infantry,2118351,Active,ROTC
Army,MAJ,Armor,2118451,Active,ROTC
Air Force,MAJ,Pilot,2118551,Active,Service Academy
Army,MAJ,Intelligence,2118651,Active,ROTC
Army,CPT,Engineer,2118751,National Guard,ROTC
Army,CPT,Logistics,2118851,National Guard,ROTC
Army,MAJ,Engineer,2118951,Active,OCS
Army,MAJ,Military Police,2119051,Active,ROTC
Army,MAJ,Aviation,2119151,Reserve,Service Academy
Army,CPT,Intelligence,2119251,Active,Service Academy
Marines,MAJ,Intelligence,2119351,Active,Service Academy
Army,MAJ,Infantry,2119451,Active,Service Academy
Army,MAJ,Aviation,2119551,Active,Service Academy
Navy,LCDR,Aviation,2119651,Active,ROTC
Army,MAJ,Armor,2119751,Active,ROTC
Army,MAJ,Armor,2119851,Active,Service Academy
Army,CPT,Logistics,2119951,Active,OCS
Army,CPT,Armor,2120051,Active,OCS
Army,CPT,Field Artillery,2120151,National Guard,OCS
Army,CPT,Intelligence,2120251,Active,Service Academy
Space Force,CPT,Cyber Operations,2120351,Active,OCS
Army,MAJ,Signal Corps,2120451,Reserve,OCS
Army,MAJ,Logistics,2120551,Active,ROTC
Army,MAJ,Medical Corps,2120651,Active,Direct Commission (Medical)
Army,CPT,Armor,2120751,National Guard,ROTC
Army,CPT,Field Artillery,2120851,Active,OCS
Army,MAJ,Logistics,2120951,Active,OCS
Army,CPT,Field Artillery,2121051,Active,Service Academy
Army,CPT,Finance Corps,2121151,Active,Service Academy
Air Force,CPT,Maintenance,2121251,Active,ROTC
Army,MAJ,Engineer,2121351,Active,OCS
Army,CPT,Medical Corps,2121451,Active,Direct Commission (Medical)
Army,CPT,Aviation,2121551,Active,ROTC
Army,MAJ,Infantry,2121651,Active,ROTC
Army,CPT,Logistics,2121751,Active,ROTC
Air Force,MAJ,Cyber Operations,2121851,Active,ROTC
Army,CPT,Logistics,2121951,Active,ROTC
Army,CPT,Military Police,2122051,Active,ROTC
Army,CPT,Intelligence,2122151,National Guard,ROTC
Army,MAJ,Signal Corps,2122251,Active,ROTC
Army,MAJ,Medical Corps,2122351,National Guard,Direct Commission (Medical)
Marines,CPT,Infantry,2122451,Active,OCS
Army,MAJ,Logistics,2122551,National Guard,Service Academy
Air Force,MAJ,Intelligence,2122651,Active,ROTC
Army,CPT,Armor,2122751,Active,ROTC
Air Force,MAJ,Pilot,2122851,Active,Service Academy
Army,MAJ,Finance Corps,2122951,Active,OCS
Army,MAJ,Logistics,2123051,Active,ROTC
Army,MAJ,Field Artillery,2123151,Active,Service Academy
Army,CPT,Military Police,2123251,National Guard,Service Academy
Army,CPT,Finance Corps,2123351,Active,OCS
Army,CPT,Finance Corps,2123451,Reserve,OCS
Army,MAJ,Engineer,2123551,Active,OCS
Army,CPT,Field Artillery,2123651,Reserve,ROTC
Army,CPT,Medical Corps,2123751,Active,Direct Commission (Medical)
DoD Civilian,GS-13,Contracting,2001851,Civilian ,n/a
DoD Civilian,GS-13,Contracting,2002751,Civilian ,n/a
Army,CPT,Medical Corps,2124051,Active,Direct Commission (Medical)
Army,MAJ,Cyber,2124151,Active,ROTC
Army,CPT,Military Police,2124251,Active,OCS
Space Force,MAJ,Space Operations,2124351,National Guard,ROTC
Army,MAJ,Cyber,2124451,Active,OCS
Army,MAJ,Medical Corps,2124551,Active,Direct Commission (Medical)
Army,CPT,Armor,2124651,Reserve,OCS
Army,CPT,Armor,2124751,Active,Service Academy
Army,MAJ,Medical Corps,2124851,Active,Direct Commission (Medical)
Army,MAJ,Infantry,2124951,Active,ROTC
DoD Civilian,GS-12,Logistics,2003151,Civilian ,n/a
Army,CPT,Signal Corps,2125151,Active,ROTC
Army,CPT,Signal Corps,2125251,Active,ROTC
Army,MAJ,Engineer,2125351,Active,OCS
Army,MAJ,Finance Corps,2125451,Active,OCS
Army,MAJ,Infantry,2125551,Active,OCS
Army,MAJ,Cyber,2125651,Active,Service Academy
Army,CPT,Signal Corps,2125751,Active,ROTC
Army,CPT,Finance Corps,2125851,Active,OCS
Army,CPT,Cyber,2125951,Reserve,ROTC
Army,MAJ,Medical Corps,2126051,Active,Direct Commission (Medical)
Army,CPT,Signal Corps,2126151,Active,ROTC
Army,CPT,Signal Corps,2126251,National Guard,OCS
Army,MAJ,Intelligence,2126351,Active,ROTC
Army,CPT,Infantry,2126451,Active,ROTC
Army,CPT,Finance Corps,2126551,Active,Service Academy
Army,CPT,Logistics,2126651,National Guard,ROTC
Army,CPT,Logistics,2126751,Active,ROTC
Army,MAJ,Intelligence,2126851,Active,OCS
Army,MAJ,Medical Corps,2126951,Active,Direct Commission (Medical)
Army,MAJ,Infantry,2127051,National Guard,ROTC
Army,CPT,Logistics,2127151,Active,ROTC
Navy,LCDR,Submarine,2127251,Active,OCS
Navy,LCDR,Surface Warfare,2127351,Active,Service Academy
Army,MAJ,Intelligence,2127451,Active,Service Academy
Army,MAJ,Logistics,2127551,Active,ROTC
Army,MAJ,Signal Corps,2127651,National Guard,Service Academy
Army,CPT,Infantry,2127751,Active,OCS
Army,CPT,Military Police,2127851,Active,OCS
Army,MAJ,Signal Corps,2127951,National Guard,ROTC
Army,MAJ,Engineer,2128051,Active,ROTC
DoD Civilian,GS-12,Medical,2007151,Civilian ,n/a
Navy,LT,Aviation,2128251,Active,Service Academy
Army,CPT,Logistics,2128351,Active,OCS
Army,CPT,Finance Corps,2128451,Active,ROTC
Army,CPT,Medical Corps,2128551,National Guard,Direct Commission (Medical)
Army,CPT,Aviation,2128651,Active,ROTC
Air Force,CPT,Pilot,2128751,Active,ROTC
Army,CPT,Finance Corps,2128851,Active,ROTC
Army,MAJ,Logistics,2128951,National Guard,Service Academy
Army,CPT,Logistics,2129051,Reserve,ROTC
Army,MAJ,Logistics,2129151,Active,OCS
Army,MAJ,Field Artillery,2129251,Active,ROTC
Army,MAJ,Armor,2129351,Active,ROTC
Army,MAJ,Engineer,2129451,National Guard,ROTC
Army,CPT,Armor,2129551,Active,Service Academy
Army,MAJ,Engineer,2129651,Active,OCS
Army,MAJ,Logistics,2129751,Active,Service Academy
Army,MAJ,Medical Corps,2129851,Active,Direct Commission (Medical)
Army,CPT,Armor,2129951,National Guard,OCS
Army,CPT,Signal Corps,2130051,National Guard,ROTC
Army,MAJ,Signal Corps,2130151,Active,ROTC
Army,CPT,Infantry,2130251,Active,OCS
Army,MAJ,Infantry,2130351,National Guard,ROTC
Army,MAJ,Military Police,2130451,National Guard,OCS
Army,CPT,Cyber,2130551,Active,OCS
Army,CPT,Engineer,2130651,National Guard,OCS
Army,MAJ,Field Artillery,2130751,Active,ROTC
Army,CPT,Armor,2130851,Active,OCS
Air Force,MAJ,Pilot,2130951,Active,OCS
Army,CPT,Armor,2131051,Active,ROTC
DoD Civilian,GS-12,Contracting,2011551,Civilian ,n/a
Army,MAJ,Aviation,2131251,Active,ROTC
Army,MAJ,Cyber,2131351,Active,ROTC
Army,MAJ,Intelligence,2131451,National Guard,OCS
Army,CPT,Armor,2131551,Active,ROTC
Army,MAJ,Logistics,2131651,Active,OCS
Army,CPT,Field Artillery,2131751,Active,ROTC
Navy,LCDR,Surface Warfare,2131851,Active,ROTC
Army,MAJ,Engineer,2131951,Active,ROTC
Army,MAJ,Medical Corps,2132051,Active,Direct Commission (Medical)
Marines,MAJ,Infantry,2132151,Active,OCS
Army,MAJ,Finance Corps,2132251,Reserve,Service Academy
Army,MAJ,Military Police,2132351,Active,Service Academy
Air Force,MAJ,Medical,2132451,National Guard,Direct Commission (Medical)
Army,MAJ,Armor,2132551,Active,ROTC
Army,CPT,Field Artillery,2132651,Reserve,ROTC
Army,MAJ,Medical Corps,2132751,Active,Direct Commission (Medical)
Army,CPT,Medical Corps,2132851,Active,Direct Commission (Medical)
Air Force,CPT,Cyber Operations,2132951,Active,Service Academy
Army,CPT,Cyber,2133051,Active,OCS
Army,CPT,Engineer,2133151,Active,ROTC
Army,CPT,Military Police,2133251,Active,OCS
Marines,CPT,Intelligence,2133351,Reserve,ROTC
Army,CPT,Aviation,2133451,Reserve,ROTC
Army,CPT,Finance Corps,2133551,National Guard,ROTC
Army,CPT,Military Police,2133651,Reserve,ROTC
Army,MAJ,Logistics,2133751,Reserve,ROTC
Space Force,CPT,Space Operations,2133851,National Guard,Service Academy
Army,MAJ,Medical Corps,2133951,Reserve,Direct Commission (Medical)
Army,CPT,Intelligence,2134051,National Guard,Service Academy
Army,MAJ,Armor,2134151,Active,ROTC
Air Force,CPT,Cyber Operations,2134251,Reserve,OCS
Army,CPT,Medical Corps,2134351,Active,Direct Commission (Medical)
Marines,CPT,Logistics,2134451,Active,ROTC
Army,CPT,Intelligence,2134551,Active,OCS
Air Force,MAJ,Maintenance,2134651,Active,Service Academy
Army,MAJ,Infantry,2134751,National Guard,Service Academy
Army,MAJ,Aviation,2134851,Active,ROTC
Army,MAJ,Medical Corps,2134951,Reserve,Direct Commission (Medical)
Army,CPT,Field Artillery,2135051,Reserve,ROTC
Army,CPT,Intelligence,2135151,Active,Service Academy
Army,MAJ,Military Police,2135251,Active,Service Academy
Air Force,CPT,Intelligence,2135351,Active,OCS
Army,CPT,Logistics,2135451,Active,OCS
Army,CPT,Signal Corps,2135551,Active,OCS
Army,CPT,Signal Corps,2135651,National Guard,ROTC
Army,MAJ,Medical Corps,2135751,Active,Direct Commission (Medical)
Navy,LT,Surface Warfare,2135851,Active,ROTC
Air Force,MAJ,Intelligence,2135951,Reserve,Service Academy
DoD Civilian,GS-12,Human Resources,2029151,Civilian ,n/a
Army,CPT,Aviation,2136151,Reserve,ROTC
Army,MAJ,Intelligence,2136251,Active,Service Academy
Army,CPT,Infantry,2136351,Active,ROTC
Army,MAJ,Logistics,2136451,Active,Service Academy
Army,CPT,Cyber,2136551,Active,ROTC
Army,CPT,Intelligence,2136651,Active,Service Academy
Army,MAJ,Intelligence,2136751,National Guard,OCS
Army,MAJ,Military Police,2136851,National Guard,OCS
Army,CPT,Signal Corps,2136951,Active,OCS
Space Force,MAJ,Space Operations,2137051,National Guard,Service Academy
Army,CPT,Cyber,2137151,Active,Service Academy
Army,CPT,Infantry,2137251,National Guard,ROTC
Army,MAJ,Aviation,2137351,Active,ROTC
Army,CPT,Military Police,2137451,Active,ROTC
Army,MAJ,Medical Corps,2137551,Active,Direct Commission (Medical)
Army,CPT,Cyber,2137651,National Guard,ROTC
Army,CPT,Military Police,2137751,National Guard,ROTC
Army,MAJ,Military Police,2137851,National Guard,ROTC
Navy,LCDR,Aviation,2137951,Active,OCS
Army,CPT,Medical Corps,2138051,Active,Direct Commission (Medical)
Army,CPT,Field Artillery,2138151,Active,OCS
Army,MAJ,Intelligence,2138251,Active,ROTC
Army,CPT,Signal Corps,2138351,National Guard,ROTC
Army,CPT,Signal Corps,2138451,National Guard,OCS
Army,CPT,Medical Corps,2138551,National Guard,Direct Commission (Medical)
Army,MAJ,Medical Corps,2138651,Active,Direct Commission (Medical)
Army,CPT,Field Artillery,2138751,Active,OCS
Army,MAJ,Finance Corps,2138851,National Guard,OCS
Army,CPT,Medical Corps,2138951,Active,Direct Commission (Medical)
Army,CPT,Field Artillery,2139051,Active,Service Academy
Army,MAJ,Medical Corps,2139151,Active,Direct Commission (Medical)
Army,MAJ,Aviation,2139251,Active,Service Academy
Space Force,CPT,Intelligence,2139351,National Guard,OCS
Army,CPT,Logistics,2139451,National Guard,Service Academy
DoD Civilian,GS-13,Contracting,2032351,Civilian ,n/a
Army,MAJ,Infantry,2139651,Active,Service Academy
Army,CPT,Logistics,2139751,National Guard,ROTC
Army,MAJ,Aviation,2139851,National Guard,OCS
Space Force,CPT,Space Operations,2139951,Active,ROTC
Navy,LT,Submarine,2140051,Active,ROTC
DoD Civilian,GS-12,Contracting,2032551,Civilian ,n/a
Army,MAJ,Medical Corps,2140251,Reserve,Direct Commission (Medical)
Army,MAJ,Logistics,2140351,National Guard,ROTC
Army,MAJ,Cyber,2140451,National Guard,OCS
Army,MAJ,Aviation,2140551,Active,Service Academy
Army,CPT,Infantry,2140651,Active,OCS
Army,CPT,Cyber,2140751,National Guard,Service Academy
Army,MAJ,Armor,2140851,National Guard,ROTC
Army,CPT,Engineer,2140951,Active,Service Academy
Army,CPT,Signal Corps,2141051,Reserve,Service Academy
Army,MAJ,Aviation,2141151,National Guard,ROTC
Army,CPT,Field Artillery,2141251,Active,OCS
Army,MAJ,Cyber,2141351,Reserve,ROTC
Army,CPT,Military Police,2141451,National Guard,ROTC
Army,MAJ,Engineer,2141551,Reserve,ROTC
Army,MAJ,Signal Corps,2141651,National Guard,Service Academy
Army,MAJ,Field Artillery,2141751,Active,OCS
Army,CPT,Signal Corps,2141851,Active,ROTC
Army,MAJ,Logistics,2141951,Active,ROTC
Air Force,MAJ,Cyber Operations,2142051,Active,Service Academy
Army,CPT,Signal Corps,2142151,Active,ROTC
Army,CPT,Intelligence,2142251,National Guard,Service Academy
Army,CPT,Cyber,2142351,Active,OCS
Army,CPT,Medical Corps,2142451,Active,Direct Commission (Medical)
Army,MAJ,Medical Corps,2142551,National Guard,Direct Commission (Medical)
Air Force,CPT,Pilot,2142651,Active,ROTC
Army,CPT,Field Artillery,2142751,Active,Service Academy
Army,CPT,Medical Corps,2142851,Active,Direct Commission (Medical)
Navy,LT,Medical,2142951,Active,Direct Commission (Medical)
Army,MAJ,Medical Corps,2143051,Active,Direct Commission (Medical)
Army,CPT,Cyber,2143151,Active,OCS
Army,MAJ,Infantry,2143251,Active,ROTC
Army,CPT,Infantry,2143351,Active,Service Academy
Army,MAJ,Signal Corps,2143451,Active,ROTC
Army,MAJ,Signal Corps,2143551,Active,OCS
Army,MAJ,Finance Corps,2143651,Active,Service Academy
Army,MAJ,Military Police,2143751,National Guard,OCS
Army,CPT,Signal Corps,2143851,Active,ROTC
Air Force,CPT,Cyber Operations,2143951,Active,ROTC
Army,MAJ,Signal Corps,2144051,National Guard,ROTC
Army,CPT,Field Artillery,2144151,Active,Service Academy
Army,CPT,Finance Corps,2144251,Active,ROTC
Army,CPT,Engineer,2144351,Reserve,Service Academy
Army,CPT,Intelligence,2144451,National Guard,Service Academy
Army,CPT,Field Artillery,2144551,Reserve,ROTC
Army,CPT,Armor,2144651,National Guard,OCS
Army,MAJ,Engineer,2144751,Reserve,ROTC
Army,CPT,Medical Corps,2144851,Reserve,Direct Commission (Medical)
Army,CPT,Signal Corps,2144951,Active,ROTC
Army,MAJ,Signal Corps,2145051,National Guard,OCS
Army,MAJ,Logistics,2145151,Active,ROTC
Army,MAJ,Engineer,2145251,Active,OCS
Army,CPT,Intelligence,2145351,Active,ROTC
Army,MAJ,Intelligence,2145451,Active,OCS
Army,CPT,Field Artillery,2145551,Active,Service Academy
Army,CPT,Military Police,2145651,Active,Service Academy
Army,CPT,Logistics,2145751,Active,OCS
Army,CPT,Infantry,2145851,Active,ROTC
Army,CPT,Armor,2145951,Active,ROTC
Army,CPT,Medical Corps,2146051,Active,Direct Commission (Medical)
Army,CPT,Logistics,2146151,Active,Service Academy
Army,MAJ,Field Artillery,2146251,Active,ROTC
Army,MAJ,Field Artillery,2146351,National Guard,OCS
Army,CPT,Logistics,2146451,Active,ROTC
Army,CPT,Aviation,2146551,Reserve,OCS
Army,CPT,Infantry,2146651,Active,ROTC
Army,CPT,Intelligence,2146751,Active,Service Academy
Navy,LCDR,Intelligence,2146851,Reserve,Service Academy
Army,MAJ,Infantry,2146951,Active,OCS
Army,CPT,Infantry,2147051,Reserve,Service Academy
Army,CPT,Intelligence,2147151,Reserve,ROTC
Army,MAJ,Armor,2147251,Active,OCS
Army,MAJ,Cyber,2147351,National Guard,Service Academy
Army,CPT,Engineer,2147451,Active,ROTC
Space Force,MAJ,Cyber Operations,2147551,Active,ROTC
Army,CPT,Infantry,2147651,Active,ROTC
Army,MAJ,Military Police,2147751,Active,OCS
Army,MAJ,Intelligence,2147851,Active,ROTC
Army,MAJ,Aviation,2147951,Active,OCS
Navy,LCDR,Submarine,2148051,Active,OCS
Army,CPT,Cyber,2148151,Active,OCS
Army,MAJ,Aviation,2148251,Active,ROTC
Army,MAJ,Finance Corps,2148351,Active,Service Academy
Army,CPT,Intelligence,2148451,National Guard,Service Academy
Army,CPT,Cyber,2148551,Active,ROTC
Army,MAJ,Military Police,2148651,Active,ROTC
Navy,LCDR,Submarine,2148751,Active,ROTC
Army,MAJ,Intelligence,2148851,Active,Service Academy
Army,MAJ,Medical Corps,2148951,Reserve,Direct Commission (Medical)
Army,CPT,Armor,2149051,Active,ROTC
Army,CPT,Engineer,2149151,Reserve,ROTC
Army,MAJ,Armor,2149251,Active,ROTC
Air Force,CPT,Maintenance,2149351,Active,OCS
Army,CPT,Cyber,2149451,Active,Service Academy
Army,CPT,Finance Corps,2149551,Active,ROTC
Army,CPT,Logistics,2149651,Reserve,ROTC
Army,MAJ,Aviation,2149751,National Guard,OCS
Army,MAJ,Cyber,2149851,Active,ROTC
Army,CPT,Logistics,2149951,National Guard,OCS
Army,CPT,Cyber,2150051,National Guard,OCS
Army,MAJ,Military Police,2150151,Active,ROTC
Army,MAJ,Logistics,2150251,Active,ROTC
Army,MAJ,Intelligence,2150351,Active,ROTC
Army,CPT,Infantry,2150451,Active,OCS
Army,MAJ,Armor,2150551,Active,ROTC
Army,CPT,Aviation,2150651,Active,ROTC
Army,MAJ,Aviation,2150751,Active,ROTC
Army,CPT,Cyber,2150851,Active,ROTC
Army,CPT,Military Police,2150951,Active,Service Academy
Marines,MAJ,Aviation,2151051,Reserve,ROTC
Navy,LCDR,Surface Warfare,2151151,Reserve,Service Academy
Army,CPT,Finance Corps,2151251,Active,Service Academy
Army,CPT,Military Police,2151351,National Guard,ROTC
Army,CPT,Cyber,2151451,Active,OCS
Army,CPT,Medical Corps,2151551,Active,Direct Commission (Medical)
Army,MAJ,Logistics,2151651,Active,Service Academy
DoD Civilian,GS-12,Cyber Operations,2032951,Civilian ,n/a
Navy,LCDR,Intelligence,2151851,Active,ROTC
Army,CPT,Military Police,2151951,Active,ROTC
Army,CPT,Finance Corps,2152051,Active,Service Academy
Army,MAJ,Intelligence,2152151,Active,ROTC
Army,CPT,Finance Corps,2152251,Active,Service Academy
Army,CPT,Armor,2152351,Reserve,Service Academy
Army,MAJ,Infantry,2152451,Active,ROTC
Army,MAJ,Field Artillery,2152551,Active,Service Academy
Army,MAJ,Intelligence,2152651,Active,Service Academy
Army,MAJ,Military Police,2152751,Active,Service Academy
DoD Civilian,GS-13,Contracting,2033851,Civilian ,n/a
Army,MAJ,Finance Corps,2152951,National Guard,OCS
Army,CPT,Engineer,2153051,Reserve,OCS
DoD Civilian,GS-13,Medical,2036251,Civilian ,n/a
Army,MAJ,Signal Corps,2153251,Active,ROTC
Army,MAJ,Aviation,2153351,National Guard,ROTC
Navy,LT,Surface Warfare,2153451,Active,OCS
Army,CPT,Military Police,2153551,Reserve,OCS
Army,CPT,Signal Corps,2153651,National Guard,OCS
Army,CPT,Military Police,2153751,Active,ROTC
Army,MAJ,Cyber,2153851,Active,Service Academy
Army,MAJ,Aviation,2153951,Active,Service Academy
Army,CPT,Logistics,2154051,Active,OCS
Army,MAJ,Medical Corps,2154151,Active,Direct Commission (Medical)
Army,CPT,Field Artillery,2154251,Active,OCS
Army,CPT,Armor,2154351,Active,ROTC
Army,MAJ,Intelligence,2154451,Active,ROTC
Army,MAJ,Military Police,2154551,Active,ROTC
Army,MAJ,Finance Corps,2154651,Active,OCS
Army,MAJ,Cyber,2154751,Active,ROTC
Army,MAJ,Medical Corps,2154851,National Guard,Direct Commission (Medical)
DoD Civilian,GS-13,Human Resources,2038051,Civilian ,n/a
Army,MAJ,Signal Corps,2155051,Active,OCS
Army,CPT,Engineer,2155151,Reserve,Service Academy
Army,CPT,Finance Corps,2155251,National Guard,ROTC
Army,CPT,Military Police,2155351,Active,OCS
Army,MAJ,Cyber,2155451,Active,ROTC
Army,MAJ,Intelligence,2155551,Active,Service Academy
Navy,LCDR,Aviation,2155651,Active,ROTC
Army,MAJ,Military Police,2155751,Reserve,Service Academy
Army,CPT,Armor,2155851,National Guard,OCS
Army,MAJ,Armor,2155951,National Guard,ROTC
Army,MAJ,Finance Corps,2156051,Active,ROTC
Army,MAJ,Aviation,2156151,Active,ROTC
Army,MAJ,Engineer,2156251,Active,ROTC
Air Force,MAJ,Pilot,2156351,National Guard,ROTC
Army,CPT,Medical Corps,2156451,Active,Direct Commission (Medical)
Army,CPT,Intelligence,2156551,National Guard,ROTC
Army,CPT,Military Police,2156651,National Guard,ROTC
Army,CPT,Finance Corps,2156751,Active,OCS
Army,MAJ,Finance Corps,2156851,Active,ROTC
Army,MAJ,Aviation,2156951,Active,Service Academy
Army,CPT,Intelligence,2157051,Active,ROTC
Air Force,MAJ,Intelligence,2157151,Active,Service Academy
Army,CPT,Infantry,2157251,Active,ROTC
Army,CPT,Cyber,2157351,Active,OCS
Army,MAJ,Signal Corps,2157451,Active,ROTC
Army,CPT,Field Artillery,2157551,Active,Service Academy
Army,CPT,Finance Corps,2157651,Active,Service Academy
Army,MAJ,Aviation,2157751,Active,ROTC
Army,MAJ,Military Police,2157851,Reserve,ROTC
Army,MAJ,Medical Corps,2157951,National Guard,Direct Commission (Medical)
Army,CPT,Finance Corps,2158051,Active,ROTC
Air Force,MAJ,Intelligence,2158151,Active,OCS
DoD Civilian,GS-13,Medical,2041951,Civilian ,n/a
Army,MAJ,Field Artillery,2158351,Reserve,ROTC
Army,CPT,Engineer,2158451,National Guard,ROTC
Army,CPT,Logistics,2158551,Active,Service Academy
Army,CPT,Infantry,2158651,Active,Service Academy
Army,MAJ,Intelligence,2158751,Active,OCS
Army,CPT,Infantry,2158851,Reserve,OCS
Army,MAJ,Armor,2158951,Active,Service Academy
Army,MAJ,Cyber,2159051,Active,Service Academy
Army,MAJ,Engineer,2159151,Active,ROTC
Army,CPT,Engineer,2159251,National Guard,OCS
Army,MAJ,Engineer,2159351,Active,OCS
Army,MAJ,Medical Corps,2159451,Active,Direct Commission (Medical)
Army,MAJ,Infantry,2159551,National Guard,Service Academy
Army,MAJ,Field Artillery,2159651,Active,ROTC
Army,CPT,Infantry,2159751,Reserve,OCS
Army,MAJ,Aviation,2159851,Reserve,OCS
Army,MAJ,Intelligence,2159951,Active,ROTC
Navy,LCDR,Surface Warfare,2160051,Active,Service Academy
Army,MAJ,Field Artillery,2160151,Active,OCS
Army,MAJ,Finance Corps,2160251,Active,ROTC
Army,MAJ,Engineer,2160351,Active,ROTC
Army,CPT,Infantry,2160451,Active,Service Academy
Army,CPT,Armor,2160551,Active,Service Academy
Army,MAJ,Infantry,2160651,National Guard,OCS
Army,CPT,Engineer,2160751,Active,Service Academy
Army,CPT,Armor,2160851,National Guard,ROTC
Army,CPT,Medical Corps,2160951,Active,Direct Commission (Medical)
Army,MAJ,Logistics,2161051,Active,Service Academy
Army,CPT,Signal Corps,2161151,Reserve,Service Academy
Army,MAJ,Armor,2161251,Active,Service Academy
Air Force,CPT,Pilot,2161351,Active,OCS
Army,MAJ,Field Artillery,2161451,Active,ROTC
Army,MAJ,Armor,2161551,National Guard,OCS
Army,CPT,Intelligence,2161651,Active,OCS
Army,CPT,Armor,2161751,Active,OCS
Army,MAJ,Armor,2161851,Active,OCS
Army,CPT,Intelligence,2161951,Active,Service Academy
Army,CPT,Medical Corps,2162051,National Guard,Direct Commission (Medical)
Army,CPT,Infantry,2162151,Active,ROTC
Marines,MAJ,Logistics,2162251,Active,ROTC
Air Force,CPT,Intelligence,2162351,Active,OCS
Army,CPT,Engineer,2162451,Active,ROTC
Army,CPT,Infantry,2162551,National Guard,Service Academy
Army,MAJ,Field Artillery,2162651,Active,ROTC
Army,MAJ,Medical Corps,2162751,Reserve,Direct Commission (Medical)
Navy,LCDR,Submarine,2162851,Reserve,OCS
Army,CPT,Engineer,2162951,National Guard,Service Academy
Army,CPT,Logistics,2163051,Active,ROTC
Army,CPT,Infantry,2163151,Active,OCS
Army,CPT,Logistics,2163251,National Guard,ROTC
Army,MAJ,Intelligence,2163351,Reserve,ROTC
Army,CPT,Finance Corps,2163451,Active,ROTC
Army,MAJ,Cyber,2163551,Active,ROTC
Army,MAJ,Medical Corps,2163651,Active,Direct Commission (Medical)
Space Force,CPT,Cyber Operations,2163751,Active,ROTC
Army,CPT,Field Artillery,2163851,Active,OCS
Army,MAJ,Military Police,2163951,Active,OCS
Army,CPT,Signal Corps,2164051,Active,OCS
Army,CPT,Military Police,2164151,Active,Service Academy
Army,MAJ,Finance Corps,2164251,Active,ROTC
Army,CPT,Field Artillery,2164351,Active,Service Academy
Army,MAJ,Infantry,2164451,Active,ROTC
Army,CPT,Signal Corps,2164551,Reserve,OCS
Army,MAJ,Cyber,2164651,Active,Service Academy
Army,MAJ,Cyber,2164751,Active,ROTC
Army,MAJ,Cyber,2164851,Active,ROTC
Army,CPT,Medical Corps,2164951,National Guard,Direct Commission (Medical)
Army,CPT,Engineer,2165051,Active,OCS
Army,CPT,Medical Corps,2165151,National Guard,Direct Commission (Medical)
Navy,LCDR,Surface Warfare,2165251,Reserve,ROTC
Army,CPT,Military Police,2165351,Active,Service Academy
Army,CPT,Signal Corps,2165451,National Guard,OCS
Army,MAJ,Intelligence,2165551,Active,Service Academy
Army,CPT,Military Police,2165651,Active,OCS
Army,MAJ,Intelligence,2165751,Active,Service Academy
Army,MAJ,Armor,2165851,National Guard,ROTC
Army,CPT,Signal Corps,2165951,Active,ROTC
